Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
EIF2D	eukaryotic translation initiation factor 2D	1939	MGI:109342	NM_006893
EIF2G~withdrawn	symbol withdrawn, see EIF2S3			
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	1965	MGI:95299	NM_004094
EIF2S2	eukaryotic translation initiation factor 2 subunit beta	8894	MGI:1914454	NM_003908
EIF2S2P1	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 1	319115		
EIF2S2P2	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 2	347673		NG_002696
EIF2S2P3	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 3	283014		
EIF2S2P4	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 4	728350		NG_005660.3
EIF2S2P5	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 5	347675		NG_002698
EIF2S2P6	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 6	100129629		
EIF2S2P7	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 7	647016		
EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	1968	MGI:1349431	NM_001415
EIF3~withdrawn	symbol withdrawn, see EIF3A			
EIF3A	eukaryotic translation initiation factor 3 subunit A	8661	MGI:95301	NM_003750
EIF3A~withdrawn	symbol withdrawn, see EIF6			
EIF3B	eukaryotic translation initiation factor 3 subunit B	8662	MGI:106478	
EIF3C	eukaryotic translation initiation factor 3 subunit C	8663	MGI:1926966	NM_003752
EIF3CL	eukaryotic translation initiation factor 3 subunit C like	728689		
EIF3D	eukaryotic translation initiation factor 3 subunit D	8664	MGI:1933181	
EIF3E	eukaryotic translation initiation factor 3 subunit E	3646	MGI:99257	NM_001568
EIF3EP1	eukaryotic translation initiation factor 3 subunit E pseudogene 1	3647		NG_001023
EIF3EP2	eukaryotic translation initiation factor 3 subunit E pseudogene 2	100132597		
EIF3EP3	eukaryotic translation initiation factor 3 subunit E pseudogene 3	100462836		NG_021590
EIF3EP4	eukaryotic translation initiation factor 3 subunit E pseudogene 4	100422200		NG_022232
EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	MGI:1913335	NM_003754
EIF3FP1	eukaryotic translation initiation factor 3 subunit F pseudogene 1	54053		
EIF3FP2	eukaryotic translation initiation factor 3 subunit F pseudogene 2	83880		
EIF3FP3	eukaryotic translation initiation factor 3 subunit F pseudogene 3	339799		NG_006949.2
EIF3G	eukaryotic translation initiation factor 3 subunit G	8666	MGI:1858258	
EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	MGI:1915385	NM_003756
EIF3I	eukaryotic translation initiation factor 3 subunit I	8668	MGI:1860763	NM_003757
EIF3IP1	eukaryotic translation initiation factor 3 subunit I pseudogene 1	442720		NR_003024
EIF3J	eukaryotic translation initiation factor 3 subunit J	8669	MGI:1925905	NM_003758
EIF3J-AS1	EIF3J antisense RNA 1 (head to head)	645212		
EIF3K	eukaryotic translation initiation factor 3 subunit K	27335	MGI:1921080	NM_013234
EIF3KP1	eukaryotic translation initiation factor 3 subunit K pseudogene 1	134505		
EIF3KP2	eukaryotic translation initiation factor 3 subunit K pseudogene 2	100129045		
EIF3KP3	eukaryotic translation initiation factor 3 subunit K pseudogene 3	645368		
EIF3L	eukaryotic translation initiation factor 3 subunit L	51386	MGI:2386251	NM_016091
EIF3LP1	eukaryotic translation initiation factor 3 subunit L pseudogene 1	319117		NG_002498
EIF3LP2	eukaryotic translation initiation factor 3 subunit L pseudogene 2	143341		NG_001544
EIF3LP3	eukaryotic translation initiation factor 3 subunit L pseudogene 3	340947		NG_022143
EIF3M	eukaryotic translation initiation factor 3 subunit M	10480	MGI:1351744	NM_006360
EIF4~withdrawn	entry withdrawn			
EIF4A1	eukaryotic translation initiation factor 4A1	1973	MGI:95303	NM_001416
EIF4A1P1	eukaryotic translation initiation factor 4A1 pseudogene 1	54052		NG_000924.4
EIF4A1P2	eukaryotic translation initiation factor 4A1 pseudogene 2	359792		NG_002809
EIF4A1P3	eukaryotic translation initiation factor 4A1 pseudogene 3	100462824		NG_021637
EIF4A1P4	eukaryotic translation initiation factor 4A1 pseudogene 4	728698		XR_015801
EIF4A1P5	eukaryotic translation initiation factor 4A1 pseudogene 5	390394		NG_011401
EIF4A1P6	eukaryotic translation initiation factor 4A1 pseudogene 6	390407		
EIF4A1P7	eukaryotic translation initiation factor 4A1 pseudogene 7	341784		NG_011333
EIF4A1P8	eukaryotic translation initiation factor 4A1 pseudogene 8	100289102		NG_022188
EIF4A1P9	eukaryotic translation initiation factor 4A1 pseudogene 9	642746		NG_022440
EIF4A1P10	eukaryotic translation initiation factor 4A1 pseudogene 10	100421533		NG_022621
EIF4A1P11	eukaryotic translation initiation factor 4A1 pseudogene 11	100130006		
EIF4A1P12	eukaryotic translation initiation factor 4A1 pseudogene 12	100462830		NG_022856
EIF4A1P13	eukaryotic translation initiation factor 4A1 pseudogene 13	100462826		NG_022543
EIF4A2	eukaryotic translation initiation factor 4A2	1974	MGI:106906	NM_001967
EIF4A2P1	eukaryotic translation initiation factor 4A2 pseudogene 1	646171		
EIF4A2P2	eukaryotic translation initiation factor 4A2 pseudogene 2	100421579		NG_025519
EIF4A2P3	eukaryotic translation initiation factor 4A2 pseudogene 3	100133309		NG_021786
EIF4A2P4	eukaryotic translation initiation factor 4A2 pseudogene 4	286512		NG_022602
EIF4A2P5	eukaryotic translation initiation factor 4A2 pseudogene 5			
EIF4A3	eukaryotic translation initiation factor 4A3	9775	MGI:1923731	NM_014740
EIF4A3P1	eukaryotic translation initiation factor 4A3 pseudogene 1	390843		
EIF4B	eukaryotic translation initiation factor 4B	1975	MGI:95304	NM_001417
EIF4BP1	eukaryotic translation initiation factor 4B pseudogene 1	319118		NG_002499
EIF4BP2	eukaryotic translation initiation factor 4B pseudogene 2	100129337		
EIF4BP3	eukaryotic translation initiation factor 4B pseudogene 3	100128771		XR_037860
EIF4BP4	eukaryotic translation initiation factor 4B pseudogene 4	100130064		
EIF4BP5	eukaryotic translation initiation factor 4B pseudogene 5	100421528		NG_022504
EIF4BP6	eukaryotic translation initiation factor 4B pseudogene 6	645579		NG_005592
EIF4BP7	eukaryotic translation initiation factor 4B pseudogene 7	643873		XR_039149
EIF4BP8	eukaryotic translation initiation factor 4B pseudogene 8	339881		XR_078291
EIF4BP9	eukaryotic translation initiation factor 4B pseudogene 9	100129692		NG_022999
EIF4C~withdrawn	symbol withdrawn, see EIF1AX			
EIF4E	eukaryotic translation initiation factor 4E	1977	MGI:95305	NM_001968
EIF4E1B	eukaryotic translation initiation factor 4E family member 1B	253314	MGI:2685119	NM_001099408
EIF4E2	eukaryotic translation initiation factor 4E family member 2	9470	MGI:1914440	NM_004846
EIF4E2P1	eukaryotic translation initiation factor 4E family member 2 pseudogene 1	128770		NG_005202
EIF4E2P2	eukaryotic translation initiation factor 4E family member 2 pseudogene 2	645207		
EIF4E3	eukaryotic translation initiation factor 4E family member 3	317649	MGI:1914142	NM_173359
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978	MGI:103267	NM_004095
EIF4EBP1P1	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1	326295		
EIF4EBP1P2	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 2	768328		NG_005781
EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	1979	MGI:109198	NM_004096
EIF4EBP2P1	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1	170510		NG_001034
EIF4EBP2P2	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 2	100190923		
EIF4EBP2P3	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 3	100190924		
EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	8637	MGI:1270847	NM_003732
EIF4EL1~withdrawn	symbol withdrawn, see EIF4E			
EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	56478	MGI:1921453	NM_019843
EIF4EP1	eukaryotic translation initiation factor 4E pseudogene 1	1980		
EIF4EP2	eukaryotic translation initiation factor 4E pseudogene 2	100131693		NG_023334
EIF4EP3	eukaryotic translation initiation factor 4E pseudogene 3	100132918		
EIF4EP4	eukaryotic translation initiation factor 4E pseudogene 4	100421455		
EIF4EP5	eukaryotic translation initiation factor 4E pseudogene 5	100131565		
EIF4F~withdrawn	symbol withdrawn, see EIF4E, EIF4A2 and EIF4G1			
EIF4G~withdrawn	symbol withdrawn, see EIF4G1			
EIF4G1	eukaryotic translation initiation factor 4 gamma 1	1981	MGI:2384784	NM_182917
EIF4G2	eukaryotic translation initiation factor 4 gamma 2	1982	MGI:109207	NM_001418
EIF4G3	eukaryotic translation initiation factor 4 gamma 3	8672	MGI:1923935	NM_003760
EIF4H	eukaryotic translation initiation factor 4H	7458	MGI:1341822	NM_022170
EIF4HP1	eukaryotic translation initiation factor 4H pseudogene 1	401316		
EIF4HP2	eukaryotic translation initiation factor 4H pseudogene 2	100421545		
EIF5	eukaryotic translation initiation factor 5	1983	MGI:95309	NM_001969
EIF5A	eukaryotic translation initiation factor 5A	1984	MGI:106248	NM_001970
EIF5A2	eukaryotic translation initiation factor 5A2	56648	MGI:1933735	
EIF5A2P1	eukaryotic translation initiation factor 5A2 pseudogene 1	100506058		
EIF5AL1	eukaryotic translation initiation factor 5A-like 1	143244		NM_001099692
EIF5AP1~withdrawn	symbol withdrawn, see EIF5AL1			
EIF5AP2	eukaryotic translation initiation factor 5A pseudogene 2	1986		
EIF5AP3	eukaryotic translation initiation factor 5A pseudogene 3	1987		
EIF5AP4	eukaryotic translation initiation factor 5A pseudogene 4	642592		
EIF5B	eukaryotic translation initiation factor 5B	9669	MGI:2441772	NM_015904
EIF5P1	eukaryotic translation initiation factor 5 pseudogene 1	100421390		
EIF5P2	eukaryotic translation initiation factor 5 pseudogene 2	100421391		
EIF6	eukaryotic translation initiation factor 6	3692	MGI:1196288	NM_002212
EIPR1	EARP complex and GARP complex interacting protein 1	7260	MGI:1289332	NM_003310
EIPR1-IT1	EIPR1 intronic transcript 1			
EJM1~withdrawn	symbol withdrawn, see EFHC1			
EJM2	epilepsy, juvenile myoclonic 2			
EKV~withdrawn	symbol withdrawn, see GJB3			
EKV3~withdrawn	symbol withdrawn, see AP1S1			
ELAC1	elaC ribonuclease Z 1	55520	MGI:1890495	
ELAC2	elaC ribonuclease Z 2	60528	MGI:1890496	
ELAM1~withdrawn	symbol withdrawn, see SELE			
ELANE	elastase, neutrophil expressed	1991	MGI:2679229	NM_001972
ELANH2~withdrawn	symbol withdrawn, see SERPINB1			
ELAVL1	ELAV like RNA binding protein 1	1994	MGI:1100851	NM_001419
ELAVL2	ELAV like RNA binding protein 2	1993	MGI:1100887	NM_004432
ELAVL3	ELAV like RNA binding protein 3	1995	MGI:109157	NM_001420
ELAVL4	ELAV like RNA binding protein 4	1996	MGI:107427	NM_021952
ELDR	EGFR long non-coding downstream RNA	102725541	MGI:1919985	
ELF1	E74 like ETS transcription factor 1	1997	MGI:107180	NM_172373
ELF2	E74 like ETS transcription factor 2	1998	MGI:1916507	NM_006874
ELF2P1	E74-like factor 2 pseudogene 1	100101917		NG_006555
ELF2P2	E74-like factor 2 pseudogene 2	260335		NG_002340
ELF2P3	E74-like factor 2 pseudogene 3	260336		NG_002341
ELF2P4	E74-like factor 2 pseudogene 4	644935		NG_006556
ELF3	E74 like ETS transcription factor 3	1999	MGI:1101781	NM_004433
ELF3-AS1	ELF3 antisense RNA 1	102723465		
ELF4	E74 like ETS transcription factor 4	2000	MGI:1928377	NM_001421
ELF5	E74 like ETS transcription factor 5	2001	MGI:1335079	NM_198381
ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1	392617	MGI:2442479	NM_001128636
ELFN1-AS1	ELFN1 antisense RNA 1	101927125		
ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794	MGI:3608416	NM_052906
ELK1	ELK1, ETS transcription factor	2002	MGI:101833	NM_005229
ELK1P1	ELK1, member of ETS oncogene family pseudogene 1	647102		NG_006972
ELK2~withdrawn	symbol withdrawn, see ELK2AP			
ELK2AP	ELK2A, member of ETS oncogene family, pseudogene	2003		
ELK2BP	ELK2B, member of ETS oncogene family, pseudogene	9995		
ELK3	ELK3, ETS transcription factor	2004	MGI:101762	NM_005230
ELK4	ELK4, ETS transcription factor	2005	MGI:102853	NM_021795
ELL	elongation factor for RNA polymerase II	8178	MGI:109377	NM_006532
ELL2	elongation factor for RNA polymerase II 2	22936	MGI:2183438	NM_012081
ELL2P1	elongation factor for RNA polymerase II 2 pseudogene 1	646270		
ELL2P2	elongation factor for RNA polymerase II 2 pseudogene 2	100421143		
ELL2P3	elongation factor for RNA polymerase II 2 pseudogene 3	100533713		NG_028874
ELL2P4	elongation factor for RNA polymerase II 2 pseudogene 4	100128690		
ELL3	elongation factor for RNA polymerase II 3	80237	MGI:2673679	NM_025165
ELMO1	engulfment and cell motility 1	9844	MGI:2153044	NM_130442
ELMO1-AS1	ELMO1 antisense RNA 1			
ELMO2	engulfment and cell motility 2	63916	MGI:2153045	NM_022086
ELMO2P1	engulfment and cell motility 2 pseudogene 1	729894		
ELMO3	engulfment and cell motility 3	79767	MGI:2679007	NM_024712
ELMOD1	ELMO domain containing 1	55531	MGI:3583900	NM_018712
ELMOD2	ELMO domain containing 2	255520	MGI:2445165	NM_153702
ELMOD3	ELMO domain containing 3	84173	MGI:2445168	NM_032213
ELMSAN1	ELM2 and Myb/SANT domain containing 1	91748	MGI:2685106	NM_194278
ELN	elastin	2006	MGI:95317	NM_000501
ELN-AS1	ELN antisense RNA 1	107986809		
ELNL1~withdrawn	entry withdrawn			
ELNR1~withdrawn	symbol withdrawn, see GLB1			
ELOA	elongin A	6924	MGI:1351315	NM_003198
ELOA-AS1	ELOA antisense RNA 1	100506963		
ELOA2	elongin A2	51224		NM_016427
ELOA3	elongin A3	162699		NM_145653
ELOA3B	elongin A3 family member B	728929		XM_001132059
ELOA3C	elongin A3 family member C	107983955		
ELOA3D	elongin A3 family member D	100506888		XM_929328
ELOB	elongin B	6923	MGI:1914923	NM_007108
ELOBP1	elongin B pseudogene 1	246717		
ELOBP2	elongin B pseudogene 2	253665		
ELOBP3	elongin B pseudogene 3	100856810		
ELOBP4	elongin B pseudogene 4	100874519		
ELOC	elongin C	6921	MGI:1915173	NM_005648
ELOCP2	elongin C pseudogene 2	283747		NG_003219
ELOCP3	elongin C pseudogene 3	644540		
ELOCP4	elongin C pseudogene 4	100462873		
ELOCP5	elongin C pseudogene 5	100288493		
ELOCP6	elongin C pseudogene 6	100462867		
ELOCP7	elongin C pseudogene 7			
ELOCP8	elongin C pseudogene 8			
ELOCP9	elongin C pseudogene 9			
ELOCP10	elongin C pseudogene 10	100462871		
ELOCP11	elongin C pseudogene 11			
ELOCP12	elongin C pseudogene 12			
ELOCP13	elongin C pseudogene 13			
ELOCP14	elongin C pseudogene 14	100462876		
ELOCP15	elongin C pseudogene 15			
ELOCP16	elongin C pseudogene 16			
ELOCP17	elongin C pseudogene 17			
ELOCP18	elongin C pseudogene 18	100130626		
ELOCP19	elongin C pseudogene 19	100462880		
ELOCP20	elongin C pseudogene 20	100287778		
ELOCP21	elongin C pseudogene 21			
ELOCP22	elongin C pseudogene 22	100287579		
ELOCP23	elongin C pseudogene 23	100462881		
ELOCP24	elongin C pseudogene 24	100287692		
ELOCP26	elongin C pseudogene 26	101059905		
ELOCP27	elongin C pseudogene 27			
ELOCP28	elongin C pseudogene 28	100287483		
ELOCP29	elongin C pseudogene 29	100132973		
ELOCP30	elongin C pseudogene 30			
ELOCP31	elongin C pseudogene 31	100422582		
ELOCP32	elongin C pseudogene 32			
ELOCP33	elongin C pseudogene 33	101928827		
ELOCP34	elongin C pseudogene 34			
ELOCP35	elongin C pseudogene 35			
ELOF1	elongation factor 1 homolog	84337	MGI:1913376	NM_032377
ELOVL1	ELOVL fatty acid elongase 1	64834	MGI:1858959	NM_022821
ELOVL2	ELOVL fatty acid elongase 2	54898	MGI:1858960	
ELOVL2-AS1	ELOVL2 antisense RNA 1	100506409		NR_038962
ELOVL3	ELOVL fatty acid elongase 3	83401	MGI:1195976	NM_152310
ELOVL4	ELOVL fatty acid elongase 4	6785	MGI:1933331	
ELOVL5	ELOVL fatty acid elongase 5	60481	MGI:1916051	NM_021814
ELOVL6	ELOVL fatty acid elongase 6	79071	MGI:2156528	NM_024090
ELOVL7	ELOVL fatty acid elongase 7	79993	MGI:1921809	
ELP1	elongator complex protein 1	8518	MGI:1914544	
ELP2	elongator acetyltransferase complex subunit 2	55250	MGI:1889642	NM_018255
ELP3	elongator acetyltransferase complex subunit 3	55140	MGI:1921445	NM_018091
ELP4	elongator acetyltransferase complex subunit 4	26610	MGI:1925016	NM_019040
ELP5	elongator acetyltransferase complex subunit 5	23587	MGI:1859017	NM_015362
ELP6	elongator acetyltransferase complex subunit 6	54859	MGI:1919349	NM_017713
ELSPBP1	epididymal sperm binding protein 1	64100		
EMB	embigin	133418	MGI:95321	NM_198449
EMBP1	embigin pseudogene 1	647121		
EMC1	ER membrane protein complex subunit 1	23065	MGI:2443696	NM_015047
EMC2	ER membrane protein complex subunit 2	9694	MGI:1913986	NM_014673
EMC3	ER membrane protein complex subunit 3	55831	MGI:1913337	NM_018447
EMC3-AS1	EMC3 antisense RNA 1	442075		
EMC4	ER membrane protein complex subunit 4	51234	MGI:1915282	NM_016454
EMC6	ER membrane protein complex subunit 6	83460	MGI:1913298	NM_031298
EMC7	ER membrane protein complex subunit 7	56851	MGI:1920274	NM_020154
EMC8	ER membrane protein complex subunit 8	10328	MGI:1343095	NM_006067
EMC9	ER membrane protein complex subunit 9	51016	MGI:1934682	NM_016049
EMC10	ER membrane protein complex subunit 10	284361	MGI:1916933	NM_175063
EMCN	endomucin	51705	MGI:1891716	NM_016242
EMD	emerin	2010	MGI:108117	
EME1	essential meiotic structure-specific endonuclease 1	146956	MGI:3576783	NM_152463
EME2	essential meiotic structure-specific endonuclease subunit 2	197342	MGI:1919889	NM_001010865
EMG1	EMG1, N1-specific pseudouridine methyltransferase	10436	MGI:1315195	NM_006331
EMID1	EMI domain containing 1	129080	MGI:2155091	NM_133455
EMILIN1	elastin microfibril interfacer 1	11117	MGI:1926189	NM_007046
EMILIN2	elastin microfibril interfacer 2	84034	MGI:2389136	NM_032048
EMILIN3	elastin microfibril interfacer 3	90187	MGI:2389142	XM_029741
EMILIN5~withdrawn	symbol withdrawn, see EMILIN3			
EML1	echinoderm microtubule associated protein like 1	2009	MGI:1915769	NM_001008707
EML2	echinoderm microtubule associated protein like 2	24139	MGI:1919455	NM_012155
EML2-AS1	EML2 antisense RNA 1	100287177		NR_130728
EML3	echinoderm microtubule associated protein like 3	256364	MGI:2387612	NM_153265
EML4	echinoderm microtubule associated protein like 4	27436	MGI:1926048	NM_019063
EML5	echinoderm microtubule associated protein like 5	161436	MGI:2442513	
EML6	echinoderm microtubule associated protein like 6	400954	MGI:2442895	XM_001725002
EMP1	epithelial membrane protein 1	2012	MGI:107941	NM_001423
EMP2	epithelial membrane protein 2	2013	MGI:1098726	NM_001424
EMP3	epithelial membrane protein 3	2014	MGI:1098729	NM_001425
EMSY	EMSY, BRCA2 interacting transcriptional repressor	56946	MGI:1924203	NM_020193
EMWX	episodic muscle weakness, X-linked			
EMX1	empty spiracles homeobox 1	2016	MGI:95387	
EMX2	empty spiracles homeobox 2	2018	MGI:95388	NM_004098
EMX2OS	EMX2 opposite strand/antisense RNA	196047	MGI:3052329	NR_002791
EN1	engrailed homeobox 1	2019	MGI:95389	
EN2	engrailed homeobox 2	2020	MGI:95390	NM_001427
ENAH	ENAH, actin regulator	55740	MGI:108360	NM_018212
ENAM	enamelin	10117	MGI:1333772	NM_031889
ENC1	ectodermal-neural cortex 1	8507	MGI:109610	NM_003633
ENDOD1	endonuclease domain containing 1	23052	MGI:1919196	NM_015036
ENDOG	endonuclease G	2021	MGI:1261433	NM_004435
ENDOGL2~withdrawn	symbol withdrawn, see EXOG			
ENDOU	endonuclease, poly(U) specific	8909	MGI:97746	NM_006025.2
ENDOV	endonuclease V	284131	MGI:2444688	NM_173627
ENG	endoglin	2022	MGI:95392	
ENGASE	endo-beta-N-acetylglucosaminidase	64772	MGI:2443788	NM_022759
ENHO	energy homeostasis associated	375704	MGI:1916888	NM_198573
ENKD1	enkurin domain containing 1	84080	MGI:2142593	NM_032140
ENKUR	enkurin, TRPC channel interacting protein	219670	MGI:1918483	NM_145010
ENO1	enolase 1	2023	MGI:95393	NM_001428
ENO1-AS1	ENO1 antisense RNA 1	100505975		
ENO1-IT1	ENO1 intronic transcript 1			
ENO1L1~withdrawn	symbol withdrawn, see ENO1			
ENO1P1	enolase 1 pseudogene 1	2025		NG_001115
ENO1P2	enolase 1 pseudogene 2	100419098		NG_022137
ENO1P3	enolase 1 pseudogene 3	100419069		
ENO1P4	enolase 1 pseudogene 4			
ENO2	enolase 2	2026	MGI:95394	
ENO3	enolase 3	2027	MGI:95395	
ENO4	enolase family member 4	387712	MGI:2441717	NM_001242699
ENOPH1	enolase-phosphatase 1	58478	MGI:1915120	NM_021204
ENOSF1	enolase superfamily member 1	55556		NM_017512
ENOX1	ecto-NOX disulfide-thiol exchanger 1	55068	MGI:2444896	NM_017993
ENOX1-AS1	ENOX1 antisense RNA 1			
ENOX1-AS2	ENOX1 antisense RNA 2			
ENOX2	ecto-NOX disulfide-thiol exchanger 2	10495	MGI:2384799	NM_182314
ENPEP	glutamyl aminopeptidase	2028	MGI:106645	
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	5167	MGI:97370	
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	5168	MGI:1321390	
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	5169	MGI:2143702	
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	22875	MGI:2682634	
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	59084	MGI:1933830	
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	133121	MGI:2445171	NM_153343
ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7	339221	MGI:3027917	NM_178543
ENPP7P1	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 1	100421823		
ENPP7P2	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2	100421813		
ENPP7P3	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 3			
ENPP7P4	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 4	100421816		
ENPP7P5	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 5			
ENPP7P6	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 6			
ENPP7P7	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 7	100421859		
ENPP7P8	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8	100421860		
ENPP7P9	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 9	100421803		
ENPP7P10	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10	100421805		
ENPP7P11	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11	100421806		
ENPP7P12	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 12			
ENPP7P13	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 13			
ENPP7P14	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 14	106481720		
ENSA	endosulfine alpha	2029	MGI:1891189	NM_207042
ENSAP1	endosulfine alpha pseudogene 1	170511		
ENSAP2	endosulfine alpha pseudogene 2	319114		NG_002495
ENSAP3	endosulfine alpha pseudogene 3	100128203		
ENT1~withdrawn	symbol withdrawn, see SLC29A1			
ENT2~withdrawn	symbol withdrawn, see SLC29A2			
ENTHD1	ENTH domain containing 1	150350	MGI:2686088	NM_152512
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	953	MGI:102805	NM_001776
ENTPD1-AS1	ENTPD1 antisense RNA 1	728558		NR_038444
ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	954	MGI:1096863	NM_203468
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	956	MGI:1321386	NM_001248
ENTPD3-AS1	ENTPD3 antisense RNA 1	285266		NR_040100
ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	9583	MGI:1914714, MGI:5435040	NM_004901
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	957	MGI:1321385	NM_001249
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)		MGI:1202295	
ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	57089	MGI:2135885	NM_020354
ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	377841	MGI:1919340	NM_198585
ENUR1	enuresis, nocturnal 1			
ENUR2	enuresis, nocturnal 2			
ENX2~withdrawn	symbol withdrawn, see ANXA5			
ENY2	ENY2, transcription and export complex 2 subunit	56943	MGI:1919286	NM_020189
EOGT	EGF domain specific O-linked N-acetylglucosamine transferase	285203	MGI:2141669	NM_173654
EOMES	eomesodermin	8320	MGI:1201683	NM_005442
EP300	E1A binding protein p300	2033	MGI:1276116	NM_001429
EP300-AS1	EP300 antisense RNA 1	101927279		
EP400	E1A binding protein p400	57634	MGI:1276124	NM_015409
EP400NL	EP400 N-terminal like	347918		NM_182613
EPAS1	endothelial PAS domain protein 1	2034	MGI:109169	NM_001430
EPB3~withdrawn	symbol withdrawn, see SLC4A1			
EPB3L1~withdrawn	symbol withdrawn, see SLC4A2			
EPB41	erythrocyte membrane protein band 4.1	2035	MGI:95401	NM_203342
EPB41L1	erythrocyte membrane protein band 4.1 like 1	2036	MGI:103010	NM_012156
EPB41L2	erythrocyte membrane protein band 4.1 like 2	2037	MGI:103009	
EPB41L3	erythrocyte membrane protein band 4.1 like 3	23136	MGI:103008	NM_012307
EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	MGI:103007	
EPB41L4A-AS1	EPB41L4A antisense RNA 1	114915		NR_015370
EPB41L4A-AS2	EPB41L4A antisense RNA 2 (head to head)	54508		
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	MGI:1859149	NM_018424
EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	MGI:103006	NM_020909
EPB42	erythrocyte membrane protein band 4.2	2038	MGI:95402	NM_000119
EPC1	enhancer of polycomb homolog 1	80314	MGI:1278322	
EPC2	enhancer of polycomb homolog 2	26122	MGI:1278321	NM_015630
EPCAM	epithelial cell adhesion molecule	4072	MGI:106653	
EPD1~withdrawn	symbol withdrawn, see COMP			
EPDR1	ependymin related 1	54749	MGI:2145369	NM_017549
EPG5	ectopic P-granules autophagy protein 5 homolog	57724	MGI:1918673	NM_020964
EPGN	epithelial mitogen	255324	MGI:1919170	NM_001013442
EPHA1	EPH receptor A1	2041	MGI:107381	
EPHA1-AS1	EPHA1 antisense RNA 1	285965		NR_033897
EPHA2	EPH receptor A2	1969	MGI:95278	NM_004431
EPHA3	EPH receptor A3	2042	MGI:99612	NM_005233
EPHA4	EPH receptor A4	2043	MGI:98277	
EPHA5	EPH receptor A5	2044	MGI:99654	NM_004439
EPHA5-AS1	EPHA5 antisense RNA 1	100144602		
EPHA6	EPH receptor A6	285220	MGI:108034	NM_001080448
EPHA7	EPH receptor A7	2045	MGI:95276	
EPHA8	EPH receptor A8	2046	MGI:109378	NM_020526
EPHA10	EPH receptor A10	284656	MGI:3586824	NM_173641
EPHB1	EPH receptor B1	2047	MGI:1096337	NM_004441
EPHB2	EPH receptor B2	2048	MGI:99611	NM_017449
EPHB3	EPH receptor B3	2049	MGI:104770	NM_004443
EPHB4	EPH receptor B4	2050	MGI:104757	NM_004444
